simplified	traditional_in_level_2	traditional_in_level_1	level_1_order	first_level_2_mapping
摆脱	擺脫	擺脫	2539	6339_1
危险	危險	危險	2572	6339_1
手表	手錶	手錶	849	6342_1
组成	組成	組成	502	6345_1
剩下	剩下	剩下	2428	6346_1
天鹅	天鵝	天鵝	2436	6356_1
想象	想象	想象	1042	6368_1
众多	眾多	眾多	2340	6389_1
出生	出生	出生	608	6395_1
恢复	恢復	恢復	1696	6395_1
正常	正常	正常	1973	6395_1
内容	內容	內容	1072	6416_1
一起	一起	一起	33	6418_1
发动	發動	發動	2086	6432_1
战争	戰爭	戰爭	718	6432_1
双方	雙方	雙方	222	6435_1
鲫鱼	鯽魚	鯽魚	2738	6442_1
鳟鱼	鱒魚	鱒魚	2736	6444_1
淡水	淡水	淡水	2737	6444_1
深刻	深刻	深刻	2348	6452_1
显得	顯得	顯得	301	6481_1
黑色	黑色	黑色	896	6481_1
